import time: self [us] | cumulative | imported package
import time:       702 |       1955 |           numpy.lib.npyio
import time:       332 |        332 |           numpy.lib.arrayterator
import time:       359 |        359 |           numpy.lib.arraypad
import time:       343 |        343 |           numpy.lib._version
import time:       600 |      15922 |         numpy.lib
import time:       608 |        608 |             numpy.fft._pocketfft_internal
import time:       704 |       1311 |           numpy.fft._pocketfft
import time:       377 |        377 |           numpy.fft.helper
import time:       398 |       2085 |         numpy.fft
import time:       358 |        358 |             numpy.polynomial.polyutils
import time:       990 |        990 |             numpy.polynomial._polybase
import time:       639 |       1986 |           numpy.polynomial.polynomial
import time:       524 |        524 |           numpy.polynomial.chebyshev
import time:       451 |        451 |           numpy.polynomial.legendre
import time:       564 |        564 |           numpy.polynomial.hermite
import time:       464 |        464 |           numpy.polynomial.hermite_e
import time:       440 |        440 |           numpy.polynomial.laguerre
import time:       437 |       4864 |         numpy.polynomial
import time:       633 |        633 |                   backports_abc
import time:       929 |       1561 |                 numpy.random._common
import time:        70 |         70 |                     binascii
import time:       926 |        996 |                   base64
import time:      1534 |       1534 |                     _hashlib
import time:        64 |         64 |                       _blake2
import time:       932 |        995 |                     hashlib
import time:       914 |       3442 |                   hmac
import time:        40 |         40 |                       _bisect
import time:       846 |        886 |                     bisect
import time:        41 |         41 |                     _random
import time:        38 |         38 |                     _sha512
import time:      1131 |       2094 |                   random
import time:       941 |       7471 |                 secrets
import time:       871 |       9902 |               numpy.random.bit_generator
import time:       616 |        616 |               numpy.random._bounded_integers
import time:       603 |        603 |               numpy.random._mt19937
import time:      1170 |      12289 |             numpy.random.mtrand
import time:       621 |        621 |             numpy.random._philox
import time:       589 |        589 |             numpy.random._pcg64
import time:       644 |        644 |             numpy.random._sfc64
import time:       991 |        991 |             numpy.random._generator
import time:       538 |      15670 |           numpy.random._pickle
import time:       422 |      16091 |         numpy.random
import time:       568 |        568 |         numpy.ctypeslib
import time:        48 |         48 |                   _opcode
import time:       939 |        986 |                 opcode
import time:      1093 |       2078 |               dis
import time:       848 |        848 |                   token
import time:      1393 |       2240 |                 tokenize
import time:       923 |       3163 |               linecache
import time:      2403 |       7644 |             inspect
import time:      3002 |      10645 |           numpy.ma.core
import time:      1117 |       1117 |           numpy.ma.extras
import time:       445 |      12206 |         numpy.ma
import time:      1922 |     165373 |       numpy
import time:       514 |        514 |         pytz.exceptions
import time:       405 |        405 |         pytz.lazy
import time:       461 |        461 |         pytz.tzinfo
import time:       323 |        323 |         pytz.tzfile
import time:      1297 |       2998 |       pytz
import time:       430 |        430 |         dateutil._version
import time:       847 |       1276 |       dateutil
import time:      2750 |       2750 |         typing
import time:      2273 |       2273 |         pandas._typing
import time:       601 |        601 |                                 pandas._libs.tslibs.np_datetime
import time:      1206 |       1806 |                               pandas._libs.tslibs.dtypes
import time:       514 |        514 |                                 pandas._libs.tslibs.base
import time:       330 |        330 |                                   pandas.util._exceptions
import time:       697 |       1026 |                                 pandas._libs.tslibs.nattype
import time:       903 |        903 |                                       pandas.util.version
import time:       381 |       1284 |                                     pandas.compat._optional
import time:      1382 |       1382 |                                         sysconfig
import time:      1276 |       2657 |                                       zoneinfo._tzpath
import time:       599 |        599 |                                       zoneinfo._common
import time:       874 |        874 |                                       _zoneinfo
import time:       984 |       5114 |                                     zoneinfo
import time:      1348 |       1348 |                                         six
import time:        34 |         34 |                                         six.moves
import time:       397 |        397 |                                         dateutil.tz._common
import time:       339 |        339 |                                         dateutil.tz._factories
import time:       919 |        919 |                                           ctypes.wintypes
import time:       511 |       1430 |                                         dateutil.tz.win
import time:       933 |       4479 |                                       dateutil.tz.tz
import time:       376 |       4854 |                                     dateutil.tz
import time:      1421 |      12671 |                                   pandas._libs.tslibs.timezones
import time:       694 |      13365 |                                 pandas._libs.tslibs.tzconversion
import time:       512 |        512 |                                         pandas._libs.tslibs.ccalendar
import time:      1538 |       1538 |                                         locale
import time:      1121 |       1121 |                                           calendar
import time:      1346 |       2467 |                                         _strptime
import time:       990 |        990 |                                             pandas._config.config
import time:       384 |        384 |                                             pandas._config.dates
import time:       335 |        335 |                                             pandas._config.display
import time:       445 |       2154 |                                           pandas._config
import time:       326 |       2479 |                                         pandas._config.localization
import time:       760 |       7755 |                                       pandas._libs.tslibs.fields
import time:       919 |       8673 |                                     pandas._libs.tslibs.timedeltas
import time:       611 |        611 |                                       backports_abc
import time:       942 |       1553 |                                     pandas._libs.tslibs.timestamps
import time:       562 |        562 |                                     backports_abc
import time:       309 |        309 |                                     dateutil.easter
import time:       297 |        297 |                                       dateutil._common
import time:       357 |        654 |                                     dateutil.relativedelta
import time:       526 |        526 |                                     pandas._libs.properties
import time:      1971 |      14244 |                                   pandas._libs.tslibs.offsets
import time:       716 |        716 |                                   backports_abc
import time:        48 |         48 |                                         _string
import time:      1271 |       1318 |                                       string
import time:      1361 |       1361 |                                         _decimal
import time:       804 |       2164 |                                       decimal
import time:       874 |       4355 |                                     dateutil.parser._parser
import time:       493 |        493 |                                     dateutil.parser.isoparser
import time:       481 |       5328 |                                   dateutil.parser
import time:      1157 |      21443 |                                 pandas._libs.tslibs.parsing
import time:       791 |      37138 |                               pandas._libs.tslibs.conversion
import time:       918 |        918 |                               pandas._libs.tslibs.period
import time:       621 |        621 |                               pandas._libs.tslibs.vectorized
import time:       467 |      40949 |                             pandas._libs.tslibs
import time:        27 |      40975 |                           pandas._libs.tslibs.nattype
import time:       505 |        505 |                           pandas._libs.ops_dispatch
import time:       705 |      42184 |                         pandas._libs.missing
import time:       889 |      43073 |                       pandas._libs.hashtable
import time:       821 |        821 |                       pandas._libs.algos
import time:      1288 |      45180 |                     pandas._libs.interval
import time:       353 |      45532 |                   pandas._libs
import time:        27 |      45559 |                 pandas._libs.properties
import time:       596 |      46154 |               pandas.util._decorators
import time:       364 |        364 |                   pandas.core
import time:       513 |        877 |                 pandas.core.util
import time:       633 |        633 |                   pandas._libs.tslib
import time:      1026 |       1659 |                 pandas._libs.lib
import time:       562 |        562 |                 pandas._libs.hashing
import time:       375 |        375 |                   pandas.core.dtypes
import time:       695 |        695 |                     pandas.errors
import time:       792 |        792 |                     pandas.core.dtypes.generic
import time:       463 |       1949 |                   pandas.core.dtypes.base
import time:       350 |        350 |                     pandas.core.dtypes.inference
import time:      1284 |       1634 |                   pandas.core.dtypes.dtypes
import time:       608 |       4564 |                 pandas.core.dtypes.common
import time:       544 |       8203 |               pandas.core.util.hashing
import time:       349 |      54705 |             pandas.util
import time:        28 |      54732 |           pandas.util.version
import time:       590 |      55321 |         pandas.compat.numpy
import time:       625 |        625 |           pyarrow
import time:       317 |        942 |         pandas.compat.pyarrow
import time:       560 |      61845 |       pandas.compat
import time:      1060 |       1060 |       pandas.core.config_init
import time:       411 |        411 |         pandas.core.dtypes.missing
import time:       424 |        424 |             pandas.util._validators
import time:       358 |        358 |             pandas.core.dtypes.astype
import time:       591 |       1372 |           pandas.core.dtypes.cast
import time:       338 |        338 |           pandas.core.dtypes.concat
import time:       340 |        340 |             pandas.core.array_algos
import time:       436 |        436 |               pandas.core.common
import time:       377 |        813 |             pandas.core.construction
import time:       609 |       1761 |           pandas.core.array_algos.take
import time:       448 |        448 |             pandas.core.indexers.utils
import time:       367 |        814 |           pandas.core.indexers
import time:       858 |       5142 |         pandas.core.algorithms
import time:       289 |        289 |                 pandas.core.roperator
import time:       714 |        714 |                       pandas._libs.ops
import time:       343 |        343 |                         pandas.core.computation
import time:       894 |        894 |                         pandas.core.computation.check
import time:       495 |       1732 |                       pandas.core.computation.expressions
import time:       346 |        346 |                       pandas.core.ops.missing
import time:       293 |        293 |                       pandas.core.ops.dispatch
import time:       276 |        276 |                       pandas.core.ops.invalid
import time:       629 |       3988 |                     pandas.core.ops.array_ops
import time:       315 |        315 |                     pandas.core.ops.common
import time:       328 |        328 |                     pandas.core.ops.docstrings
import time:       292 |        292 |                     pandas.core.ops.mask_ops
import time:       319 |        319 |                     pandas.core.ops.methods
import time:       452 |       5691 |                   pandas.core.ops
import time:        22 |       5713 |                 pandas.core.ops.common
import time:       548 |       6549 |               pandas.core.arraylike
import time:       557 |        557 |                 pandas.compat.numpy.function
import time:       421 |        421 |                 pandas.core.missing
import time:       340 |        340 |                 pandas.core.array_algos.quantile
import time:       863 |        863 |                 pandas.core.sorting
import time:       859 |       3040 |               pandas.core.arrays.base
import time:       743 |      10331 |             pandas.core.arrays.arrow.array
import time:       355 |        355 |             pandas.core.arrays.arrow.dtype
import time:       518 |      11204 |           pandas.core.arrays.arrow
import time:      1362 |       1362 |               pandas.core.nanops
import time:       311 |        311 |               pandas.core.array_algos.masked_reductions
import time:       879 |       2551 |             pandas.core.arrays.masked
import time:       446 |       2996 |           pandas.core.arrays.boolean
import time:        80 |         80 |               _csv
import time:       983 |       1063 |             csv
import time:        77 |         77 |               zlib
import time:       892 |        892 |                 _compression
import time:       945 |        945 |                 _bz2
import time:       953 |       2789 |               bz2
import time:       948 |        948 |                 _lzma
import time:       915 |       1863 |               lzma
import time:      1321 |       6048 |             shutil
import time:       589 |        589 |             pandas._libs.arrays
import time:       497 |        497 |             pandas.core.accessor
import time:       290 |        290 |               pandas.core.array_algos.transforms
import time:       710 |        999 |             pandas.core.arrays._mixins
import time:       802 |        802 |             pandas.core.base
import time:      2817 |       2817 |                 pandas.core.strings.accessor
import time:       434 |        434 |                 pandas.core.strings.base
import time:       380 |       3629 |               pandas.core.strings
import time:       996 |        996 |               unicodedata
import time:       477 |       5100 |             pandas.core.strings.object_array
import time:       378 |        378 |               pandas.io
import time:       502 |        879 |             pandas.io.formats
import time:       488 |        488 |             pandas.io.formats.console
import time:      1213 |      17673 |           pandas.core.arrays.categorical
import time:       424 |        424 |                 pandas.core.arrays.numeric
import time:       510 |        934 |               pandas.core.arrays.integer
import time:       381 |        381 |               pandas.tseries
import time:       613 |        613 |               pandas.tseries.frequencies
import time:      1332 |       3259 |             pandas.core.arrays.datetimelike
import time:       312 |        312 |             pandas.core.arrays._ranges
import time:       324 |        324 |             pandas.tseries.offsets
import time:       716 |       4609 |           pandas.core.arrays.datetimes
import time:       403 |        403 |           pandas.core.arrays.floating
import time:       379 |        379 |               pandas.core.indexes
import time:       809 |        809 |               pandas._libs.index
import time:      1108 |       1108 |               pandas._libs.join
import time:       362 |        362 |               pandas.core.array_algos.putmask
import time:       732 |        732 |                     pandas._libs.sparse
import time:       379 |        379 |                     pandas.core.arrays.sparse.dtype
import time:       489 |        489 |                     pandas.io.formats.printing
import time:       711 |       2310 |                   pandas.core.arrays.sparse.array
import time:       524 |       2834 |                 pandas.core.arrays.sparse.accessor
import time:       355 |       3189 |               pandas.core.arrays.sparse
import time:       511 |        511 |                 pandas.core.arrays.numpy_
import time:       527 |       1038 |               pandas.core.arrays.string_
import time:       334 |        334 |               pandas.core.indexes.frozen
import time:      2084 |       9299 |             pandas.core.indexes.base
import time:      1470 |      10768 |           pandas.core.arrays.interval
import time:       644 |        644 |           pandas.core.arrays.period
import time:       482 |        482 |           pandas.core.arrays.string_arrow
import time:       607 |        607 |           pandas.core.arrays.timedeltas
import time:       471 |      49854 |         pandas.core.arrays
import time:       323 |        323 |         pandas.core.flags
import time:       574 |        574 |             pandas._libs.reduction
import time:       680 |        680 |             pandas.core.apply
import time:        64 |         64 |                 gc
import time:       603 |        603 |                   pandas._libs.indexing
import time:       443 |        443 |                       pandas.core.indexes.extension
import time:       551 |        994 |                     pandas.core.indexes.category
import time:       539 |        539 |                           pandas.core.indexes.numeric
import time:       672 |       1210 |                         pandas.core.indexes.range
import time:       363 |        363 |                           pandas.core.tools
import time:       466 |        828 |                         pandas.core.tools.timedeltas
import time:       814 |       2851 |                       pandas.core.indexes.datetimelike
import time:       316 |        316 |                       pandas.core.tools.times
import time:      1153 |       4319 |                     pandas.core.indexes.datetimes
import time:      1910 |       1910 |                       pandas.core.indexes.multi
import time:       398 |        398 |                       pandas.core.indexes.timedeltas
import time:       973 |       3280 |                     pandas.core.indexes.interval
import time:       567 |        567 |                     pandas.core.indexes.period
import time:       474 |       9632 |                   pandas.core.indexes.api
import time:      1367 |      11602 |                 pandas.core.indexing
import time:       347 |        347 |                 pandas.core.sample
import time:       304 |        304 |                 pandas.core.array_algos.replace
import time:       360 |        360 |                     pandas.core.reshape
import time:       624 |        624 |                           backports_abc
import time:       873 |       1496 |                         pandas._libs.internals
import time:       629 |        629 |                           pandas._libs.writers
import time:       884 |       1513 |                         pandas.core.internals.blocks
import time:       445 |       3454 |                       pandas.core.internals.api
import time:       406 |        406 |                         pandas.core.internals.base
import time:       718 |       1124 |                       pandas.core.internals.array_manager
import time:       597 |        597 |                               org
import time:        21 |        618 |                             org.python
import time:        21 |        638 |                           org.python.core
import time:       897 |       1535 |                         copy
import time:       486 |        486 |                           pandas.core.internals.ops
import time:       790 |       1276 |                         pandas.core.internals.managers
import time:       494 |       3304 |                       pandas.core.internals.concat
import time:       415 |       8296 |                     pandas.core.internals
import time:       601 |       9256 |                   pandas.core.reshape.concat
import time:      1250 |       1250 |                       dataclasses
import time:      1007 |       1007 |                       gzip
import time:        73 |         73 |                       mmap
import time:       601 |        601 |                         pwd
